image,condition,parse_ok,error,seconds,n_present,n_flagged,n_truth,n_unsupported_vs_clf,n_omit_vs_clf,n_unsupported_but_true,n_unsupported_and_false,unsupported_rate_vs_clf,omit_rate_vs_clf,n_false_vs_truth,precision_vs_truth,recall_vs_truth,normal_film_kept_clean,loc_agree,n_loc_checked
00012741_018.png,A,True,False,30.6,1,1,0,0,0,0,0,0.0,0.0,1,0.0,,False,,0
00012741_018.png,B,True,False,10.8,6,1,0,5,0,0,5,0.8333,0.0,6,0.0,,False,,0
00012741_018.png,C,True,False,9.3,1,1,0,0,0,0,0,0.0,0.0,1,0.0,,False,1.0,1
00009892_016.png,A,True,False,31.1,3,2,2,2,1,1,1,0.6667,0.5,2,0.3333,0.5,,,0
00009892_016.png,B,True,False,10.6,7,2,2,5,0,1,4,0.7143,0.0,5,0.2857,1.0,,,0
00009892_016.png,C,True,False,9.3,4,2,2,2,0,1,1,0.5,0.0,2,0.5,1.0,,1.0,2
00015732_038.png,A,True,False,31.4,4,2,1,3,1,0,3,0.75,0.5,4,0.0,0.0,,,0
00015732_038.png,B,True,False,23.5,0,2,1,0,2,0,0,0.0,1.0,0,,0.0,,,0
00015732_038.png,C,True,False,10.0,5,2,1,3,0,0,3,0.6,0.0,4,0.2,1.0,,1.0,2
00028182_000.png,A,True,False,30.5,0,1,0,0,1,0,0,0.0,1.0,0,,,True,,0
00028182_000.png,B,True,False,12.5,5,1,0,4,0,0,4,0.8,0.0,5,0.0,,False,,0
00028182_000.png,C,True,False,11.7,5,1,0,4,0,0,4,0.8,0.0,5,0.0,,False,1.0,1
00028698_000.png,A,True,False,30.8,0,0,0,0,0,0,0,0.0,,0,,,True,,0
